"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Bryce Young","QB","CAR",31.5,19.6,203.3,1,0.9,2.1,9.7,0.3,0,0,0,13.1,13.1,""
"Baker Mayfield","QB","TB",33.9,21.4,223.6,1.9,0.7,4.1,19.4,0.2,0,0,0,18.3,18.3," -- Over PP Rush Yards of: 10.5"
"Derek Carr","QB","NO",31.3,19.9,212.3,1.2,1,1.8,4.4,0.2,0,0,0,12.9,12.9," -- Over PP Pass Attempts of 29"
"Matthew Stafford","QB","LAR",35.6,23.3,248.6,1.6,0.8,1.2,2.5,0.1,0,0,0,15.6,15.6," -- Under UD Fantasy Score of 18.35"
"Jared Goff","QB","DET",35.2,23.2,264.4,1.6,0.5,1.4,5,0.1,0,0,0,17.1,17.1,""
"Caleb Williams","QB","CHI",36,22.7,241.1,1.1,1,8,35.8,0.1,0,0,0,16.2,16.2,""
"C.J. Stroud","QB","HOU",34.6,22.7,256.2,1.6,0.6,3.5,17.4,0.2,0,0,0,18.4,18.4,""
"Drake Maye","QB","NE",33,19.7,214.3,1,0.9,8.4,43.2,0.2,0,0,0,16.3,16.3," -- Over UD Rush Yards of 29.5 -- Over PP Rush Yards of: 28.5"
"Anthony Richardson","QB","IND",27.4,16.9,167,0.9,0.9,7.5,39.3,0.5,0,0,0,15.4,15.4," -- Over PP Completions of 14.5"
"Patrick Mahomes","QB","KC",35,23.2,233.3,1.7,0.6,4.1,22.5,0.3,0,0,0,19,19,""
"Aidan O'Connell","QB","LV",42.6,26.9,251.8,1.2,1,0.5,1.9,0.2,0,0,0,14.3,14.3,""
"Jordan Love","QB","GB",31.2,19.7,218.7,1.7,0.7,1.2,4.6,0.1,0,0,0,15.2,15.2,""
"Tua Tagovailoa","QB","MIA",36.6,24.3,264.2,1.5,0.8,3.8,11.2,0.1,0,0,0,16.7,16.7,""
