"name","team","appHalfProjectedPoints","appProjectedCarriesThisWeek","appProjectedrushYardsThisWeek","appProjectedrushTDsThisWeek","appProjectedreceptionsThisWeek","appProjectedrecYardsThisWeek","appProjectedrecTDsThisWeek","appProjectedrushFirstDownsThisWeek","appProjectedrecFirstDownsThisWeek","appProjectedRBTotalFirstDownsThisWeek","astroHalfRBProjection","astroFullRBProjection"
"Bijan Robinson","ATL",17.1,14.2,65.9,0.8,3.5,31.7,0.2,3.3,1.4,4.7,17.5,19.3
"Kyren Williams","LAR",16.8,18.2,82.9,0.8,2.2,12.2,0.3,4.2,0.6,4.8,17.2,18.3
"Joe Mixon","HOU",16.6,19,82.1,0.6,3.5,23.8,0.2,4.1,1.1,5.2,17.1,18.9
"Saquon Barkley","PHI",16.6,18.3,91.8,0.7,2.4,15,0.2,4.6,0.7,5.3,17.3,18.5
"Kenneth Walker","SEA",16.5,14.4,61.2,0.7,3.9,27.2,0.3,3,1.2,4.2,16.8,18.7
"D'Andre Swift","CHI",16.3,17.2,78.8,0.6,2.7,30.5,0.2,3.9,1.4,5.3,17.1,18.4
"Derrick Henry","BAL",16.3,18.6,88.9,1,0.9,6.2,0.2,4.4,0.3,4.7,17.2,17.6
"Chuba Hubbard","CAR",16,20.2,91.1,0.6,2.9,12.3,0.2,4.6,0.6,5.2,16.6,18
"Alvin Kamara","NO",16,13.9,63.8,0.5,4.7,37.3,0.2,3.2,1.7,4.9,16.7,19
"James Cook","BUF",15.3,13,67.2,0.7,2.3,23.3,0.2,3.3,1,4.3,15.6,16.8
"Jahmyr Gibbs","DET",15.3,13.6,76.6,0.6,2.7,25,0.2,3.9,1.1,5,16.3,17.7
"Breece Hall","NYJ",15.1,15.1,68.4,0.5,3.7,35.5,0.2,3.4,1.7,5.1,16.4,18.3
"Chase Brown","CIN",14.8,15.6,65.9,0.8,2.6,18.4,0.2,3.3,0.8,4.1,15.7,17
"JK Dobbins","LAC",14.8,15.2,75.4,0.7,2.6,11.9,0.2,3.8,0.6,4.4,15.4,16.7
"Tony Pollard","TEN",14.6,16.3,74.1,0.6,2.9,17.6,0.2,3.7,0.8,4.5,15.4,16.9
"James Conner","ARI",14.5,16.7,74.6,0.7,1.9,18.8,0.1,3.8,0.8,4.6,15.1,16
