"name","team","appHalfProjectedPoints"
"Lamar Jackson","BAL",23.3
"Jalen Hurts","PHI",21.6
"Jayden Daniels","WAS",20
"Kyler Murray","ARI",19.5
"Patrick Mahomes","KC",19.5
"Josh Allen","BUF",19.4
"Joe Burrow","CIN",18.7
"CeeDee Lamb","DAL",18.3
"Sam Darnold","MIN",18
"Baker Mayfield","TB",18
"Dak Prescott","DAL",17.6
"Kirk Cousins","ATL",17.5
"Bo Nix","DEN",17.4
"Bijan Robinson","ATL",17.1
"AJ Brown","PHI",17
"Kenneth Walker","SEA",16.9
"Caleb Williams","CHI",16.8
"Kyren Williams","LAR",16.8
"Jordan Love","GB",16.7
"Justin Jefferson","MIN",16.7
"Joe Mixon","HOU",16.6
"Saquon Barkley","PHI",16.6
"Joe Flacco","IND",16.3
"Jared Goff","DET",16.3
"Trevor Lawrence","JAC",16.3
"D'Andre Swift","CHI",16.3
"Derrick Henry","BAL",16.3
"Derek Carr","NO",16.2
"Jameis Winston","CLE",16.1
"Aaron Rodgers","NYJ",16
"Chuba Hubbard","CAR",16
"Alvin Kamara","NO",16
"JaMarr Chase","CIN",15.9
"Drake London","ATL",15.7
"Matthew Stafford","LAR",15.6
"Tua Tagovailoa","MIA",15.5
"Drake Maye","NE",15.4
"James Cook","BUF",15.3
"Jahmyr Gibbs","DET",15.3
"Geno Smith","SEA",15.2
"Breece Hall","NYJ",15.1
"Malik Nabers","NYG",14.9
"Chase Brown","CIN",14.8
"JK Dobbins","LAC",14.8
"Daniel Jones","NYG",14.6
"Tony Pollard","TEN",14.6
"James Conner","ARI",14.5
"Justin Herbert","LAC",14.4
"Aaron Jones","MIN",14.4
"Kareem Hunt","KC",14.4
"Brian Robinson","WAS",14.4
"David Montgomery","DET",14.4
"Jonathan Taylor","IND",14.3
"C.J. Stroud","HOU",14.2
"Mason Rudolph","TEN",14.2
"Josh Jacobs","GB",13.9
"Cooper Kupp","LAR",13.8
"Tyrone Tracy","NYG",13.5
"Gardner Minshew","LV",13.1
"De'Von Achane","MIA",12.9
"Rhamondre Stevenson","NE",12.9
"Brock Bowers","LV",12.9
"Amon-Ra St Brown","DET",12.7
"DeVonta Smith","PHI",12.7
"Darnell Mooney","ATL",12.6
"Davante Adams","NYJ",12.4
"Garrett Wilson","NYJ",12.4
"Terry McLaurin","WAS",12.3
"Josh Downs","IND",12.1
"Alexander Mattison","LV",11.8
"Puka Nacua","LAR",11.8
"Bryce Young","CAR",11.5
"Nick Chubb","CLE",11.5
"Tyreek Hill","MIA",11.5
"Brian Thomas Jr","JAC",11.4
"Jayden Reed","GB",11.3
"Kyle Pitts","ATL",11.3
"DJ Moore","CHI",11.2
"Chris Olave","NO",11.1
"Courtland Sutton","DEN",11.1
"Ladd McConkey","LAC",11.1
"Tank Bigsby","JAC",11
"Travis Kelce","KC",10.9
"Cade Otton","TB",10.9
"Khalil Shakir","BUF",10.8
"Rico Dowdle","DAL",10.6
"Zay Flowers","BAL",10.4
"Michael Pittman Jr","IND",10.4
"Amari Cooper","BUF",10.2
"Javonte Williams","DEN",9.9
"Calvin Ridley","TEN",9.9
"David Njoku","CLE",9.9
"Bucky Irving","TB",9.8
"Marvin Harrison Jr","ARI",9.6
"Jaxon Smith-Njigba","SEA",9.6
"Jakobi Meyers","LV",9.4
"Cedric Tillman","CLE",9.3
"Trey McBride","ARI",9.3
"Tank Dell","HOU",9.2
"Dalton Kincaid","BUF",9.2
"Xavier Worthy","KC",9.1
"Keon Coleman","BUF",9.1
"Jaylen Waddle","MIA",9.1
"Jalen Tolbert","DAL",9.1
"Keenan Allen","CHI",9
"WanDale Robinson","NYG",9
"Tyler Lockett","SEA",9
"Zach Charbonnet","SEA",8.8
"Romeo Doubs","GB",8.8
"Raheem Mostert","MIA",8.6
"Diontae Johnson","BAL",8.6
"Cole Kmet","CHI",8.6
"Travis Etienne","JAC",8.4
"Evan Engram","JAC",8.4
"Rachaad White","TB",8.3
"Mark Andrews","BAL",8.3
"Austin Ekeler","WAS",8.2
"Jordan Addison","MIN",8.1
"Tucker Kraft","GB",7.9
"Tyler Allgeier","ATL",7.8
"DeAndre Hopkins","KC",7.8
"Rome Odunze","CHI",7.8
"Christian Watson","GB",7.8
"Darius Slayton","NYG",7.8
"Demarcus Robinson","LAR",7.8
"Sam LaPorta","DET",7.8
"Jake Ferguson","DAL",7.7
"Miles Sanders","CAR",7.6
"Michael Wilson","ARI",7.4
"Xavier Legette","CAR",7.3
"Jonnu Smith","MIA",7.3
"Devin Singletary","NYG",7.2
"Jalen Coker","CAR",7.2
"Zach Ertz","WAS",7.2
"Quentin Johnston","LAC",7.1
"Ray Davis","BUF",7
"Alec Pierce","IND",7
"Hunter Henry","NE",7
"Juwan Johnson","NO",7
"Rashod Bateman","BAL",6.9
"Jerry Jeudy","CLE",6.9
"Taysom Hill","NO",6.8
"Trayveon Williams","CIN",6.6
"Dalton Schultz","HOU",6.6
"Roschon Johnson","CHI",6.4
"Joshua Palmer","LAC",6.4
"Ray-Ray McCloud","ATL",6.4
"Braelon Allen","NYJ",6.3
"Jalen McMillan","TB",6.3
"Demario Douglas","NE",6.3
"Noah Brown","WAS",6.3
"Elijah Moore","CLE",6.3
"Tyler Conklin","NYJ",6.3
