"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"James Conner","RB","ARI",0,0,0,0,0,15.9,68.3,0.7,2.4,23.4,0.2,15.8,17,""
"Rhamondre Stevenson","RB","NE",0,0,0,0,0,15,62.5,0.9,2.3,11.8,0.1,14.6,15.7," -- Over UD Rush Yards of 50.5"
"Tyrone Tracy","RB","NYG",0,0,0,0,0,18.7,68.6,0.5,3.4,23.2,0.1,14.5,16.2," -- Over UD Rush Yards of 46.5 -- Over PP Rush Yards of: 48.5"
"Derrick Henry","RB","BAL",0,0,0,0,0,20.7,113.1,1.2,1,9,0.2,21.1,21.6," -- Over UD Rush Yards of 94.5 -- Over PP Rush Yards of: 96.5"
"Tony Pollard","RB","TEN",0,0,0,0,0,16,72.1,0.5,2.9,17.3,0.2,14.6,16,""
"Chase Brown","RB","CIN",0,0,0,0,0,17.8,77.8,0.8,4,25,0.2,18.3,20.3,""
"Sincere McCormick","RB","LV",0,0,0,0,0,15.9,61.6,0.6,1.4,8.4,0.1,11.9,12.6,""
"Bijan Robinson","RB","ATL",0,0,0,0,0,17.9,78.9,0.8,3.6,28.4,0.2,18.5,20.3,""
"Saquon Barkley","RB","PHI",0,0,0,0,0,22.3,114.4,0.8,2.4,23.2,0.2,21,22.2," -- Over UD Rush Yards of 101.5 -- Over PP Rush Yards of: 100.5"
"Najee Harris","RB","PIT",0,0,0,0,0,15.3,68.7,0.5,2.4,18.6,0.1,13.5,14.7," -- Over UD Rush Yards of 51.5 -- Over PP Rush Yards of: 52.5"
"Gus Edwards","RB","LAC",0,0,0,0,0,11,44.5,0.7,0.6,4.2,0.1,10,10.3,""
"Rachaad White","RB","TB",0,0,0,0,0,14.2,51.1,0.5,3.3,28.5,0.4,15,16.7,""
"Tank Bigsby","RB","JAC",0,0,0,0,0,16.8,80.2,0.6,0.7,3.4,0.1,12.9,13.3,""
"Braelon Allen","RB","NYJ",0,0,0,0,0,9.6,39.4,0.5,2.4,22.8,0.2,11.6,12.8,""
"Patrick Taylor","RB","SF",0,0,0,0,0,13.1,58.7,0.6,1.7,16,0.1,12.5,13.4,""
"Kyren Williams","RB","LAR",0,0,0,0,0,17.3,76.4,0.8,1.9,10.9,0.1,15.1,16,""
"Zach Charbonnet","RB","SEA",0,0,0,0,0,17.4,71.3,0.7,3.2,22.6,0.2,16.4,18,""
"Josh Jacobs","RB","GB",0,0,0,0,0,18.7,77.3,0.8,2.5,20.1,0.2,17,18.2,""
"Raheem Blackshear","RB","CAR",0,0,0,0,0,3.9,13.8,0.1,0.7,5.5,0.1,3.5,3.8,""
"Ezekiel Elliott","RB","DAL",0,0,0,0,0,2.1,6.8,0.2,1,5.9,0.1,3.6,4.1,""
"Kendre Miller","RB","NO",0,0,0,0,0,7,28.5,0.2,0.2,0.8,0.1,4.8,4.9,""
"Jeremy McNichols","RB","WAS",0,0,0,0,0,6.3,37.7,0.4,1.2,7.3,0.1,8.1,8.7,""
"Cam Akers","RB","MIN",0,0,0,0,0,8.5,32.2,0.2,0.9,5.2,0.2,6.6,7,""
"Travis Homer","RB","CHI",0,0,0,0,0,1.2,6.8,0.1,3.2,8.5,0.1,4.3,5.9,""
"Dare Ogunbowale","RB","HOU",0,0,0,0,0,0,0,0.1,1.3,5.8,0.1,2.4,3.1,""
"Jaylen Wright","RB","MIA",0,0,0,0,0,5.8,20,0.2,0.6,6.4,0.1,4.7,5,""
"Jaleel McLaughlin","RB","DEN",0,0,0,0,0,9.5,49.7,0.3,1.2,6.9,0.1,8.7,9.3,""
"Tyler Goodson","RB","IND",0,0,0,0,0,0.6,2.7,0.1,1.2,6.6,0.1,2.7,3.3,""
"Jerome Ford","RB","CLE",0,0,0,0,0,5.8,27.5,0.1,2.8,17.5,0.2,7.7,9.1,""
"Kareem Hunt","RB","KC",0,0,0,0,0,9.1,31,0.4,1.2,9.9,0.1,7.7,8.3,""
"David Montgomery","RB","DET",0,0,0,0,0,12.7,59.2,0.7,2.6,23.6,0.2,15,16.3,""
"Ray Davis","RB","BUF",0,0,0,0,0,7.6,29.7,0.2,0.9,9.9,0.2,6.8,7.3,""
"Trey Benson","RB","ARI",0,0,0,0,0,7.7,26.9,0.3,0.4,1.3,0.1,5.4,5.6,""
"Antonio Gibson","RB","NE",0,0,0,0,0,4.8,22.7,0.2,1.2,7.1,0.1,5.4,6,""
"Devin Singletary","RB","NYG",0,0,0,0,0,5.5,21.9,0.2,1.1,8.1,0.1,5.4,5.9,""
"Justice Hill","RB","BAL",0,0,0,0,0,2.9,14.9,0.2,2.1,21.3,0.2,7.1,8.1,""
"Tyjae Spears","RB","TEN",0,0,0,0,0,4.8,22.2,0.3,2.6,12.3,0.1,7.1,8.4,""
"Khalil Herbert","RB","CIN",0,0,0,0,0,3.1,14.2,0.3,0,0,0.1,3.8,3.8,""
"Ameer Abdullah","RB","LV",0,0,0,0,0,1.7,5.7,0.1,2,14.6,0.2,4.8,5.8,""
"Tyler Allgeier","RB","ATL",0,0,0,0,0,7.3,29.2,0.4,0.8,6.7,0.1,7,7.4,""
"Kenneth Gainwell","RB","PHI",0,0,0,0,0,4.3,20.4,0.1,1.5,9.1,0.1,4.9,5.7,""
"Jaylen Warren","RB","PIT",0,0,0,0,0,6.2,33.4,0.4,2.4,21.1,0.1,9.7,10.9,""
"Kimani Vidal","RB","LAC",0,0,0,0,0,10.9,42,0.3,1.7,7.5,0.2,8.8,9.7,""
"Sean Tucker","RB","TB",0,0,0,0,0,10.3,52.6,0.5,1.7,13.3,0.1,11,11.9,""
"Travis Etienne","RB","JAC",0,0,0,0,0,7.4,30.8,0.3,2.7,20,0.1,8.8,10.2,""
"Isaiah Davis","RB","NYJ",0,0,0,0,0,8.8,36.2,0.5,2,19.4,0.2,10.8,11.8,""
"Israel Abanikanda","RB","SF",0,0,0,0,0,7.4,25.2,0.2,1,7.4,0.1,5.6,6.1,""
"Blake Corum","RB","LAR",0,0,0,0,0,6.8,25.2,0.1,0,0,0.1,3.7,3.7,""
"Kenny McIntosh","RB","SEA",0,0,0,0,0,2.8,13.3,0.2,0.6,4.5,0.1,3.9,4.2,""
"Emanuel Wilson","RB","GB",0,0,0,0,0,5.5,29.2,0.1,1.2,5.6,0.2,5.9,6.5,""
"Hunter Luepke","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Jamaal Williams","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Ty Chandler","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Alec Ingold","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Audric Estime","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Trey Sermon","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Pierre Strong Jr","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Samaje Perine","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Ty Johnson","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Emari Demercado","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"JaMycal Hasty","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Julius Chestnut","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Will Shipley","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Cordarrelle Patterson","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Hassan Haskins","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Kyle Juszczyk","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Chris Brooks","RB",,0,0,0,0,0,0,0,0,0,0,0,0,0,""
"Adam Thielen","WR","CAR",0,0,0,0,0,0,0,0,4.6,56.3,0.4,10.3,12.6,""
"CeeDee Lamb","WR","DAL",0,0,0,0,0,1.1,6.6,0.1,6.1,73.1,0.5,14.6,17.7,""
"Marquez Valdes-Scantling","WR","NO",0,0,0,0,0,0,0,0,2.9,40.9,0.4,7.9,9.4,""
"Terry McLaurin","WR","WAS",0,0,0,0,0,0,0,0,4.2,64.6,0.7,12.8,14.9,""
"Justin Jefferson","WR","MIN",0,0,0,0,0,0.1,0.6,0,5.4,84.4,0.6,14.8,17.5,""
"DJ Moore","WR","CHI",0,0,0,0,0,0.5,2.2,0,5.6,54.2,0.4,10.8,13.6,""
"Nico Collins","WR","HOU",0,0,0,0,0,0,0,0,6.4,100.6,0.7,17.5,20.7," -- Over UD Receiving Yards of 85.5 -- Over PP Receiving Yards of 85.5"
"Tyreek Hill","WR","MIA",0,0,0,0,0,0.9,4,0,5.3,69.8,0.6,13.6,16.3,""
"Courtland Sutton","WR","DEN",0,0,0,0,0,0,0,0,5.5,72.4,0.5,13,15.7,""
"Josh Downs","WR","IND",0,0,0,0,0,0,0,0,4.8,47.8,0.4,9.6,12,""
"Jerry Jeudy","WR","CLE",0,0,0,0,0,0,0,0,4.3,78.1,0.4,12.4,14.5," -- Over UD Receiving Yards of 67.5"
"DeAndre Hopkins","WR","KC",0,0,0,0,0,0,0,0,4.8,59.6,0.6,12,14.4,""
"Amon-Ra St Brown","WR","DET",0,0,0,0,0,0,0,0,7,76.9,0.7,15.4,18.9,""
"Khalil Shakir","WR","BUF",0,0,0,0,0,0,0,0,5.7,62.9,0.3,10.9,13.8,""
"Marvin Harrison Jr","WR","ARI",0,0,0,0,0,0,0,0,3.6,55.9,0.8,12.2,14,""
"Demario Douglas","WR","NE",0,0,0,0,0,0.2,1.3,0,3.9,46.7,0.2,8,9.9,""
"Malik Nabers","WR","NYG",0,0,0,0,0,0,0,0,5.4,62,0.3,10.7,13.4,""
"Zay Flowers","WR","BAL",0,0,0,0,0,0.5,3.7,0,4.4,58.8,0.5,11.4,13.7,""
"Calvin Ridley","WR","TEN",0,0,0,0,0,0.8,3.4,0,6.2,68,0.4,12.6,15.7,""
"JaMarr Chase","WR","CIN",0,0,0,0,0,0.3,1.1,0,6.8,95.6,1,19.1,22.5,""
"Jakobi Meyers","WR","LV",0,0,0,0,0,0.6,3.1,0,6,71.8,0.3,12.3,15.3,""
"Drake London","WR","ATL",0,0,0,0,0,0,0,0,5.8,72.8,0.6,13.8,16.7,""
"AJ Brown","WR","PHI",0,0,0,0,0,0,0,0,4.9,79,0.4,12.8,15.2,""
"Calvin Austin III","WR","PIT",0,0,0,0,0,0,0,0,2.1,39.3,0.3,6.8,7.8,""
"Quentin Johnston","WR","LAC",0,0,0,0,0,0,0,0,3.5,50,0.7,10.9,12.7,""
"Mike Evans","WR","TB",0,0,0,0,0,0,0,0,4.2,68.8,0.6,12.6,14.7,""
"Brian Thomas Jr","WR","JAC",0,0,0,0,0,0.4,3,0,4.3,63,0.6,12.3,14.5,""
"Garrett Wilson","WR","NYJ",0,0,0,0,0,0.2,0.8,0,5.4,66.2,0.4,11.8,14.5,""
"Jauan Jennings","WR","SF",0,0,0,0,0,0,0,0,5.2,67.8,0.5,12.4,15," -- Under PP Fantasy Score of 14.5"
"Puka Nacua","WR","LAR",0,0,0,0,0,0.8,4.1,0.1,7.2,96,0.4,16.6,20.2," -- Under PP Fantasy Score of 18.5"
"DK Metcalf","WR","SEA",0,0,0,0,0,0,0,0,4.8,65.5,0.4,11.4,13.8,""
"Jayden Reed","WR","GB",0,0,0,0,0,0.8,8.1,0.1,3.3,47.5,0.4,10.2,11.9,""
"Xavier Legette","WR","CAR",0,0,0,0,0,0.4,2.4,0,2.9,37.5,0.4,7.8,9.3,""
"KaVontae Turpin","WR","DAL",0,0,0,0,0,0.6,3.7,0,2.5,34.9,0.3,6.9,8.2,""
"Kevin Austin","WR","NO",0,0,0,0,0,0.4,3.8,0,2.4,29.4,0.2,5.7,6.9,""
"Noah Brown","WR","WAS",0,0,0,0,0,0,0,0,3.1,40.2,0.3,7.4,8.9,""
"Jordan Addison","WR","MIN",0,0,0,0,0,0.4,2.7,0.1,4.1,67.5,0.6,13.3,15.3,""
"Keenan Allen","WR","CHI",0,0,0,0,0,0,0,0,4.8,51.5,0.4,10,12.4,""
"Tank Dell","WR","HOU",0,0,0,0,0,0.7,2.7,0,4,43.6,0.5,9.6,11.6,""
"Jaylen Waddle","WR","MIA",0,0,0,0,0,0.3,1,0,3.9,56.9,0.4,10.1,12.1,""
"Marvin Mims","WR","DEN",0,0,0,0,0,0.5,1.9,0,2.2,37.2,0.4,7.4,8.5,""
"Michael Pittman Jr","WR","IND",0,0,0,0,0,0,0,0,4.4,48.9,0.4,9.5,11.7,""
"Elijah Moore","WR","CLE",0,0,0,0,0,0,0,0,5.2,44.6,0.4,9.5,12.1,""
"Xavier Worthy","WR","KC",0,0,0,0,0,0.6,4.3,0.1,3.9,45.7,0.3,9.3,11.3,""
"Jameson Williams","WR","DET",0,0,0,0,0,0.6,4.2,0,3.5,66.8,0.3,10.6,12.4,""
"Amari Cooper","WR","BUF",0,0,0,0,0,0,0,0,3.5,48.7,0.4,9,10.8,""
"Michael Wilson","WR","ARI",0,0,0,0,0,0,0,0,3.1,38.9,0.5,8.4,10,""
"Kendrick Bourne","WR","NE",0,0,0,0,0,0,0,0,2.4,33.4,0.3,6.3,7.5,""
"WanDale Robinson","WR","NYG",0,0,0,0,0,0.3,2.3,0,4,34,0.3,7.4,9.4,""
"Rashod Bateman","WR","BAL",0,0,0,0,0,0,0,0,2.8,39.6,0.4,7.8,9.2,""
"Nick Westbrook-Ikhine","WR","TEN",0,0,0,0,0,0,0,0,2.8,64.1,0.7,12,13.4,""
"Tee Higgins","WR","CIN",0,0,0,0,0,0,0,0,5.8,74.3,0.6,13.9,16.8,""
"Tre Tucker","WR","LV",0,0,0,0,0,0.9,4.4,0.1,2.6,34.5,0.3,7.6,8.9,""
"Darnell Mooney","WR","ATL",0,0,0,0,0,0,0,0,4.6,66.6,0.5,12,14.3,""
"DeVonta Smith","WR","PHI",0,0,0,0,0,0,0,0,4.8,56.3,0.4,10.4,12.8,""
"Mike Williams","WR","PIT",0,0,0,0,0,0,0,0,2,27.2,0.2,4.9,5.9,""
"Joshua Palmer","WR","LAC",0,0,0,0,0,0,0,0,4.2,58.4,0.4,10.3,12.4,""
"Jalen McMillan","WR","TB",0,0,0,0,0,0.4,2,0,2.8,31,0.2,5.9,7.3,""
"Parker Washington","WR","JAC",0,0,0,0,0,0,0,0,2.5,46.2,0.3,7.7,8.9,""
"Davante Adams","WR","NYJ",0,0,0,0,0,0,0,0,5,63.9,0.4,11.3,13.8,""
"Deebo Samuel","WR","SF",0,0,0,0,0,1.6,7.6,0.2,3.4,45.6,0.3,10,11.7,""
"Cooper Kupp","WR","LAR",0,0,0,0,0,0.3,1.2,0,7.2,76.3,0.8,16.2,19.8," -- Over UD Fantasy Score of 12.55"
"Jaxon Smith-Njigba","WR","SEA",0,0,0,0,0,0.2,1.2,0,6.2,69.9,0.5,13.2,16.3,""
"Christian Watson","WR","GB",0,0,0,0,0,0,0,0,3.1,61.2,0.2,8.9,10.4," -- Over UD Receiving Yards of 50.5"
"David Moore","WR","CAR",0,0,0,0,0,0,0,0,3.2,32.2,0.3,6.6,8.2,""
"Jalen Tolbert","WR","DAL",0,0,0,0,0,0,0,0,2.5,31.2,0.3,6.2,7.4,""
"Cedrick Wilson","WR","NO",0,0,0,0,0,0,0,0,1.9,15.9,0.2,3.7,4.7,""
"Dyami Brown","WR","WAS",0,0,0,0,0,0,0,0,2.1,20.1,0.2,4.3,5.3,""
"Jalen Nailor","WR","MIN",0,0,0,0,0,0,0,0,1,11.2,0.2,2.8,3.3,""
"Rome Odunze","WR","CHI",0,0,0,0,0,0.2,1.3,0,4.4,51,0.2,8.6,10.8," -- Over PP Receiving Yards of 40.5"
"John Metchie","WR","HOU",0,0,0,0,0,0,0,0,1.9,20.4,0.2,4.2,5.1,""
"Malik Washington","WR","MIA",0,0,0,0,0,0.9,5.6,0,1.2,7.3,0.1,2.5,3.1,""
"Devaughn Vele","WR","DEN",0,0,0,0,0,0,0,0,2.8,32.8,0.2,5.9,7.3,""
"Alec Pierce","WR","IND",0,0,0,0,0,0,0,0,2.3,43.6,0.3,7.3,8.5,""
"Mike Woods","WR","CLE",0,0,0,0,0,0,0,0,1.4,24.8,0.2,4.4,5.1,""
"JuJu Smith-Schuster","WR","KC",0,0,0,0,0,0,0,0,2.5,30.1,0.1,4.9,6.1,""
"Tim Patrick","WR","DET",0,0,0,0,0,0,0,0,2.6,30,0.2,5.5,6.8,""
"Mack Hollins","WR","BUF",0,0,0,0,0,0,0,0,2.7,38.4,0.4,7.6,8.9,""
"Greg Dortch","WR","ARI",0,0,0,0,0,0,0,0,2,17.2,0.1,3.3,4.3,""
"Kayshon Boutte","WR","NE",0,0,0,0,0,0,0,0,2,23.4,0.2,4.5,5.5,""
"Darius Slayton","WR","NYG",0,0,0,0,0,0,0,0,2.1,37.5,0.2,6,7.1,""
"Nelson Agholor","WR","BAL",0,0,0,0,0,0,0,0,1.1,13.8,0.2,3.1,3.7,""
"Tyler Boyd","WR","TEN",0,0,0,0,0,0,0,0,3.4,25.6,0.3,6.1,7.8,""
"Andrei Iosivas","WR","CIN",0,0,0,0,0,0,0,0,2,25.4,0.3,5.3,6.3,""
"Terrace Marshall","WR","LV",0,0,0,0,0,0,0,0,0.7,8.1,0.1,1.8,2.1,""
"Ray-Ray McCloud","WR","ATL",0,0,0,0,0,0.7,5.2,0,4.1,48.9,0.2,8.7,10.7,""
"Jahan Dotson","WR","PHI",0,0,0,0,0,0.2,1.7,0,1,8.9,0.1,2.2,2.7,""
"Scott Miller","WR","PIT",0,0,0,0,0,0,0,0,2.2,22.1,0.2,4.5,5.6,""
"Jalen Reagor","WR","LAC",0,0,0,0,0,0,0,0,1.4,21.3,0.1,3.4,4.1,""
"Sterling Shepard","WR","TB",0,0,0,0,0,0.5,3.5,0,3.4,30,0.2,6.3,8,""
"Devin Duvernay","WR","JAC",0,0,0,0,0,0.4,1.7,0,1.4,15.2,0.2,3.6,4.3,""
"Allen Lazard","WR","NYJ",0,0,0,0,0,0,0,0,2.4,37.3,0.5,7.9,9.1," -- Under UD Receiving Yards of 68.5"
"Ricky Pearsall","WR","SF",0,0,0,0,0,0.9,6.2,0,2.3,32.7,0.3,6.8,8," -- Under UD Receiving Yards of 48.5 -- Over PP Receiving Yards of 15.5"
"Tutu Atwell","WR","LAR",0,0,0,0,0,0,0,0,2.8,42.1,0.2,6.8,8.2," -- Under UD Receiving Yards of 62.5 -- Under UD Fantasy Score of 12.55"
"Tyler Lockett","WR","SEA",0,0,0,0,0,0,0,0,2.8,34.3,0.3,6.6,8," -- Under UD Receiving Yards of 68.5"
"Dontayvion Wicks","WR","GB",0,0,0,0,0,0,0,0,3.2,33.9,0.4,7.4,9," -- Under UD Receiving Yards of 50.5"
"Tommy Tremble","TE","CAR",0,0,0,0,0,0,0,0,2,21.8,0.2,4.4,5.4,""
"Jake Ferguson","TE","DAL",0,0,0,0,0,0,0,0,3.9,36.4,0.2,6.8,8.7,""
"Juwan Johnson","TE","NO",0,0,0,0,0,0,0,0,3.4,32.8,0.2,6.2,7.9,""
"Zach Ertz","TE","WAS",0,0,0,0,0,0,0,0,3.9,35,0.3,7.3,9.2,""
"T.J. Hockenson","TE","MIN",0,0,0,0,0,0,0,0,4.4,49.4,0.3,8.9,11.1,""
"Cole Kmet","TE","CHI",0,0,0,0,0,0,0,0,4.4,46.3,0.3,8.6,10.8,""
"Dalton Schultz","TE","HOU",0,0,0,0,0,0,0,0,3.3,28.7,0.2,5.7,7.4,""
"Jonnu Smith","TE","MIA",0,0,0,0,0,0,0,0,4.9,61.9,0.6,12.2,14.7,""
"Adam Trautman","TE","DEN",0,0,0,0,0,0,0,0,0.6,11.4,0.2,2.6,2.9,""
"Kylen Granson","TE","IND",0,0,0,0,0,0,0,0,0.5,5.9,0.1,1.4,1.7,""
"David Njoku","TE","CLE",0,0,0,0,0,0,0,0,5.3,45.9,0.6,10.8,13.5,""
"Travis Kelce","TE","KC",0,0,0,0,0,0,0,0,5.5,48.5,0.4,10,12.8," -- Under UD Receiving Yards of 58.5 -- Under PP Receiving Yards of 58.5"
"Sam LaPorta","TE","DET",0,0,0,0,0,0,0,0,3.6,45.5,0.5,9.3,11.2,""
"Dawson Knox","TE","BUF",0,0,0,0,0,0,0,0,2,30.3,0.3,5.8,6.8,""
"Trey McBride","TE","ARI",0,0,0,0,0,0,0,0,5.9,65,0.3,11.3,14.2,""
"Hunter Henry","TE","NE",0,0,0,0,0,0,0,0,3.7,43.9,0.2,7.4,9.3,""
"Daniel Bellinger","TE","NYG",0,0,0,0,0,0,0,0,2.1,22.5,0.2,4.5,5.6,""
"Mark Andrews","TE","BAL",0,0,0,0,0,0,0,0,3.9,37.2,0.4,8.1,10,""
"Chigoziem Okonkwo","TE","TEN",0,0,0,0,0,0,0,0,2.8,28.3,0.3,6,7.4,""
"Mike Gesicki","TE","CIN",0,0,0,0,0,0,0,0,4,43.5,0.2,7.6,9.6,""
"Brock Bowers","TE","LV",0,0,0,0,0,0,0,0,7.5,81.7,0.5,14.9,18.7,""
"Kyle Pitts","TE","ATL",0,0,0,0,0,0,0,0,3.4,41.7,0.5,8.9,10.6,""
"Grant Calcaterra","TE","PHI",0,0,0,0,0,0,0,0,3.4,30.7,0.2,6,7.7,""
"Pat Freiermuth","TE","PIT",0,0,0,0,0,0,0,0,3.3,33.1,0.4,7.4,9,""
