"name","pos","team","PassAttempts","Completions","PassingYards","PassTDs","INTs","carries","rushYards","rushTDs","receptions","receivingYards","receivingTDs","halfFantasyPoints","fullFantasyPoints","recProps"
"Jalen Hurts","QB","PHI",30.6,19.3,225.7,1.3,0.8,9,34.9,0.9,0,0,0,21.5,21.5,""
"Bryce Young","QB","CAR",34.5,21.2,210.7,1,0.8,2.2,13.5,0.1,0,0,0,12.8,12.8,""
"Drew Lock","QB","NYG",31.5,19.6,185.7,0.9,1.1,3,23.5,0.2,0,0,0,12.4,12.4,""
"Derek Carr","QB","NO",34.8,21.8,229.4,1.4,0.7,2,7.8,0.1,0,0,0,14.8,14.8,""
"Brock Purdy","QB","SF",34.1,22,239.5,1.5,0.8,4.5,23,0.1,0,0,0,16.9,16.9,""
"Caleb Williams","QB","CHI",35.1,22.1,233,1.2,1,7.5,33.4,0.1,0,0,0,16.1,16.1,""
"Davis Mills","QB","HOU",0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,""
"","QB","DEN",0,0,0,0,0,NaN,NaN,NaN,0,0,0,NaN,NaN,""
"Patrick Mahomes","QB","KC",36.2,23.8,240.8,1.6,0.9,4.1,20.8,0.2,0,0,0,17.5,17.5," -- Under UD Pass Yards of 260.5 -- Under PP Pass Yards of 261.5"
"Justin Herbert","QB","LAC",30.5,19,208.6,1.1,0.3,7.3,34.9,0.1,0,0,0,16.2,16.2," -- Under PP Pass Yards of 229.5"
"Tua Tagovailoa","QB","MIA",36.9,24.8,259,1.8,0.7,2.5,7.5,0.1,0,0,0,17.5,17.5," -- Over UD Pass Yards of 242.5"
"Aaron Rodgers","QB","NYJ",37.2,24,222.6,1.4,0.9,1.5,6.4,0.1,0,0,0,13.9,13.9,""
"Matthew Stafford","QB","LAR",35.9,23.3,242.8,1.5,0.9,1.1,4.2,0.1,0,0,0,14.9,14.9,""
"Josh Allen","QB","BUF",34.1,21.9,245.6,1.6,1,6.3,30.1,0.5,0,0,0,20.2,20.2,""
"Sam Darnold","QB","MIN",33.5,21.7,236.4,1.5,0.8,4.9,16.5,0.2,0,0,0,16.7,16.7,""
"Kirk Cousins","QB","ATL",37.4,23.8,259.1,1.2,0.7,0.5,2.1,0.1,0,0,0,14.6,14.6,""
"Jared Goff","QB","DET",36.1,23.6,262.8,1.6,0.6,1.3,4.6,0.1,0,0,0,16.8,16.8," -- Over UD Pass Attempts of 30.5 -- Over PP Pass Attempts of 30.5 -- Over UD Pass Yards of 245.5 -- Over PP Pass Yards of 245.5 -- Over UD Pass Plus Rush Yards of 249.5"
"Jordan Love","QB","GB",35.6,22.7,270.8,1.9,0.7,1.2,6.3,0.1,0,0,0,18.3,18.3," -- Over UD Pass Plus Rush Yards of 256.5"
"Cooper Rush","QB","DAL",38.9,25.5,203.2,1.5,1,0.5,2.6,0.1,0,0,0,13,13," -- Under UD Pass Yards of 220.5 -- Under PP Pass Yards of 225.5"
"Joe Burrow","QB","CIN",36.6,24.3,259,1.9,0.8,4.1,15.2,0.1,0,0,0,18.5,18.5,""
"Will Levis","QB","TEN",32.1,20.6,217.1,1.4,0.6,5.8,23.2,0.1,0,0,0,16,16,""
"Baker Mayfield","QB","TB",35.6,22.3,235.7,1.5,0.7,4.3,18.9,0.3,0,0,0,17.7,17.7,""
"Aidan O'Connell","QB","LV",38.2,24.3,264.3,1.2,0.9,0.4,2,0.1,0,0,0,14.4,14.4," -- Over UD Pass Yards of 221.5 -- Over PP Pass Yards of 222.5"
"Mac Jones","QB","JAC",29.4,18.7,194,1,0.8,2.3,9.2,0.2,0,0,0,12.3,12.3,""
"Kyler Murray","QB","ARI",31.6,20,214.1,1.2,0.9,5.6,35.5,0.5,0,0,0,18.1,18.1," -- Over PP Rush Yards of: 26.5"
"Geno Smith","QB","SEA",35,22.8,227.5,1.2,0.7,2.9,14.3,0.1,0,0,0,14.5,14.5,""
"Russell Wilson","QB","PIT",31.1,19.1,236.2,1.2,0.9,1.2,5.6,0.3,0,0,0,14.8,14.8,""
"Jameis Winston","QB","CLE",44.9,27.9,302.7,1.3,1.4,3,10.7,0.1,0,0,0,16.2,16.2," -- Over UD Pass Yards of 235.5"
"Saquon Barkley","RB","PHI",0,0,0,0,0,21.1,110.7,0.9,3.5,24.7,0.3,22.5,24.2,""
"Chuba Hubbard","RB","CAR",0,0,0,0,0,14.4,62.6,0.6,2.3,10.7,0.2,13.3,14.4,""
"Tyrone Tracy","RB","NYG",0,0,0,0,0,19.6,75.9,0.6,2.2,19.1,0.2,15.4,16.5,""
"Alvin Kamara","RB","NO",0,0,0,0,0,19,89.4,0.6,5.2,39.3,0.2,20.3,22.9,""
"Isaac Guerendo","RB","SF",0,0,0,0,0,25.7,114.5,1,2.4,17.6,0.1,21,22.2,""
"D'Andre Swift","RB","CHI",0,0,0,0,0,17.1,69.4,0.6,2.4,23.1,0.1,14.7,15.9," -- Over UD Rush Yards of 46.5"
"Isiah Pacheco","RB","KC",0,0,0,0,0,17.9,80.6,0.7,2.4,19.2,0.1,16,17.2," -- Over UD Rush Yards of 52.5"
"Gus Edwards","RB","LAC",0,0,0,0,0,11.6,51.5,0.5,1.2,5.8,0.1,9.9,10.5,""
"De'Von Achane","RB","MIA",0,0,0,0,0,12.9,67.4,0.6,4.3,35.9,0.5,19.1,21.2,""
"Breece Hall","RB","NYJ",0,0,0,0,0,14.6,63.1,0.5,3.1,27.4,0.2,14.8,16.4,""
"Kyren Williams","RB","LAR",0,0,0,0,0,17.4,77.8,0.8,1.5,9,0.1,14.8,15.6,""
"James Cook","RB","BUF",0,0,0,0,0,12.7,61.4,0.7,2.5,19.6,0.2,14.8,16,""
"Aaron Jones","RB","MIN",0,0,0,0,0,12.3,60.9,0.5,2.8,21.1,0.2,13.8,15.2,""
